region,E,Y,x
1,7.9650079245,8,56
2,22.836218651,22,65
3,22.094716036,19,50
4,7.9193520491,3,63
5,13.139889126,14,65
6,15.898848048,9,51
7,14.820838634,10,50
8,19.851889969,18,41
9,25.416331246,22,50
10,11.672852059,5,45
11,23.564171755,13,53
12,16.907836042,10,50
13,19.515533897,17,49
14,12.558348212,11,55
15,19.127164535,17,30
16,165.57891707,119,67
17,25.45250024,26,56
18,11.164103181,7,63
19,12.267689048,7,41
20,12.458619781,11,52
21,22.685642959,16,40
22,17.662705275,14,46
23,10.439756603,11,64
24,15.866814373,17,46
25,9.9105937684,7,40
26,11.967625084,13,61
27,11.828191187,14,55
28,52.01196117,74,50
29,18.74909868,20,60
30,17.022285104,24,49
31,53.538631538,55,57
32,28.563816545,26,50
33,8.8909874485,8,54
34,11.51163661,18,50
35,16.051760481,22,48
36,16.826962803,25,55
37,19.930998206,22,52
38,19.010040762,20,45
39,5.5650800202,5,49
40,13.04766805,12,50
41,9.0669224565,7,52
42,13.337657004,8,62
43,12.386572691,16,57
44,15.507965206,14,57
45,10.117130333,6,55
46,10.81164987,9,49
47,6.7977287368,4,57
48,4.8321993455,8,58
49,12.885031176,10,47
50,15.211809209,20,52
51,9.1264124324,11,64
52,8.6983239637,7,46
53,15.325269411,18,49
54,9.3406424772,10,61
55,19.744886325,19,62
56,9.0891608379,5,50
57,10.814402777,4,48
58,13.013170418,11,57
59,9.2977911096,5,42
60,27.030741166,20,49
61,7.8457369214,8,50
62,8.8657648972,9,61
63,4.9013332971,6,39
64,54.880400162,63,62
65,13.310586417,12,67
66,57.424717085,64,80
67,52.604180894,57,88
68,63.67320101,88,90
69,22.413672912,14,80
70,24.24106951,31,90
71,18.737947007,21,66
72,21.502327224,29,97
73,12.200453941,19,85
74,16.270842393,17,87
75,37.210595379,47,77
76,24.43012276,33,75
77,46.604256201,55,65
78,37.953370378,38,76
79,25.063512006,16,79
80,39.638556181,29,76
81,20.855935211,20,78
82,26.410862771,25,50
83,87.666812062,84,77
84,15.725516643,14,67
85,27.491531555,31,89
86,22.313591787,37,81
87,37.307844814,46,76
88,15.6776163,14,74
89,19.938607884,19,74
90,23.933791119,21,65
91,24.520613063,26,61
92,45.370495998,35,59
93,11.051663106,17,90
94,29.331819463,71,93
95,21.102364662,13,54
96,25.427122249,19,63
97,14.384465002,13,70
98,59.775132921,69,75
99,32.422287078,23,54
100,21.455678979,20,53
101,31.111775864,25,42
102,26.780927824,19,47
103,23.692642222,19,57
104,13.527084454,10,57
105,33.340220214,25,40
106,29.458033879,41,53
107,19.543932977,13,62
108,38.681034785,47,83
109,58.364904149,72,78
110,21.462502876,18,79
111,16.174621309,14,69
112,17.621028103,25,76
113,34.898197814,40,79
114,25.079999497,24,54
115,40.701324589,47,65
116,11.246713608,18,72
117,26.220033377,27,54
118,24.95419382,20,53
119,36.480167705,42,70
120,13.143326003,19,51
121,61.442236229,76,57
122,11.111438458,13,66
123,26.62928625,31,57
124,23.541357391,23,54
125,23.2785573,22,47
126,21.921636547,33,58
127,21.195746252,20,34
128,35.489623173,42,47
129,19.423437759,21,34
130,8.9269965541,10,48
131,28.840545546,23,48
132,16.041685834,10,43
133,25.500649576,26,52
134,21.482706949,20,47
135,23.646631971,17,57
136,15.213325806,11,74
137,20.72724332,17,44
138,11.879483062,11,43
139,19.787407749,15,52
140,18.339157197,16,34
141,13.843877077,13,37
142,22.778369458,12,46
143,18.360045398,12,44
144,16.207188542,18,28
145,12.423533851,9,46
146,10.980386668,17,67
147,11.923102464,19,60
148,12.161174406,13,72
149,14.615744271,27,73
150,8.8988461479,21,65
151,6.0735435245,10,60
152,18.516771611,31,70
153,16.463835126,19,68
154,9.2185189222,14,58
155,12.393865434,7,60
156,16.820487618,17,58
157,9.0032388125,23,73
158,10.52955314,12,70
159,8.9272864412,12,74
160,6.0245877909,7,68
161,11.388042303,20,74
162,4.4963090185,7,62
163,9.7110857406,15,71
164,3.415094865,3,57
165,15.620854338,18,58
166,16.051392646,21,52
167,5.3467981241,7,27
168,5.0514331949,10,57
169,4.0851564979,4,59
170,7.3982034305,15,63
171,3.4869334193,4,61
172,9.5657334542,11,54
173,12.184911219,20,61
174,6.6383240957,9,45
175,8.8673627292,12,52
176,9.6173437532,11,64
177,7.6332221236,9,64
178,9.5032354611,11,30
179,12.776680798,14,53
180,15.137352332,13,50
181,9.7807706091,13,62
182,56.262738357,49,20
183,27.758724796,23,16
184,42.882880003,30,9
185,22.823877757,28,15
186,40.364816661,33,24
187,34.053405812,27,17
188,11.133651561,9,36
189,23.275465343,32,24
190,8.2013435606,8,19
191,14.692493154,17,18
192,12.020221139,10,19
193,12.31743873,13,9
194,25.862461093,24,27
195,5.6576189167,1,33
196,26.108946374,25,32
197,33.252980552,35,33
198,18.690288516,16,46
199,11.302758742,15,45
200,29.717826061,37,68
201,12.365586378,12,33
202,44.112661511,47,46
203,10.633361419,8,43
204,12.549738209,13,18
205,15.212459056,21,23
206,9.6954748278,9,33
207,15.179004072,13,39
208,18.634182251,11,31
209,11.917492522,12,51
210,32.622735309,32,47
211,12.167708606,10,49
212,18.765529264,21,36
213,10.691807308,7,23
214,22.630312357,19,19
215,18.185283755,23,50
216,13.818491403,15,40
217,22.317138416,28,14
218,13.521274468,13,21
219,16.065627524,15,36
220,10.018662811,11,28
221,14.232467544,16,15
222,13.736236802,13,17
223,16.907914114,20,5
224,21.363737544,24,13
225,9.8622604399,15,30
226,9.3142787742,6,35
227,118.99730968,111,29
228,5.3308258215,4,25
229,9.21117591,14,43
230,9.6684139843,3,23
231,9.9179960534,11,15
232,9.6853416612,9,38
233,8.9229819942,6,33
234,8.4546205239,9,33
235,8.1803360892,2,27
236,10.009861015,6,28
237,15.458399243,10,16
238,8.4757189628,5,28
239,7.684108828,7,13
240,8.3050827442,7,40
241,9.1325978663,10,43
242,24.111716461,9,4
243,6.8645601166,6,49
244,8.1187978367,11,35
245,18.902745071,14,24
246,11.328850674,10,13
247,14.650184807,12,35
248,10.960593858,11,36
249,5.7488551721,5,43
250,4.6219524625,3,50
251,4.1392028979,6,52
252,9.2987303437,13,35
253,6.3049358958,13,68
254,8.233547519,7,32
255,10.118840848,6,28
256,14.465222477,14,42
257,6.8500678931,15,58
258,9.9153754438,4,24
259,7.2497656404,6,38
260,7.1243498793,4,34
261,4.155542313,4,41
262,11.63173936,15,45
263,4.0821790054,2,28
264,8.6652864668,4,47
265,10.873245864,12,59
266,9.020248681,10,32
267,8.3204882804,9,34
268,12.24037642,12,47
269,11.772080283,17,50
270,7.1932164001,8,49
271,7.0684712759,4,36
272,6.7767710327,9,31
273,4.5145153405,2,36
274,5.3612181244,6,44
275,9.9537396112,10,32
276,9.3207933144,9,47
277,8.1233640486,3,36
278,8.5708069106,9,31
279,11.604436356,11,32
280,7.1998679553,5,46
281,7.4936598219,6,43
282,6.181215276,5,12
283,9.5866496676,17,44
284,4.0145501741,7,22
285,8.5716896499,11,16
286,9.6423332253,9,51
287,48.48135745,72,38
288,3.4537426579,4,38
289,14.846103371,15,25
290,9.1109710124,9,22
291,9.037177437,6,28
292,14.769838827,22,33
293,8.453004666,3,11
294,9.5722543481,7,34
295,8.2206835566,7,28
296,5.9904500873,9,45
297,5.82797138,9,22
298,11.344118753,8,35
299,14.027188646,18,35
300,10.022310104,12,27
301,7.4409642432,11,29
302,7.242366309,3,35
303,7.59848725,4,30
304,10.387902767,12,18
305,11.490269265,10,40
306,9.6108789916,2,3
307,12.293536234,18,11
308,24.986810349,37,37
309,4.2566861579,3,27
310,6.0989524931,9,38
311,3.8264260342,4,17
312,8.8285419333,8,29
313,17.844193575,19,28
314,7.3197718187,11,43
315,9.660181829,11,34
316,13.014228776,12,31
317,7.4091740683,8,21
318,11.225867509,14,34
319,11.116914422,11,20
320,10.896860169,10,39
321,12.550646611,11,18
322,34.354797368,45,88
323,9.3818679067,11,79
324,14.541947909,14,94
325,19.360929888,36,83
326,15.152116531,17,63
327,8.7811503188,9,65
328,184.46334391,215,67
329,93.300230225,92,62
330,7.5569695471,6,67
331,8.0819176152,4,26
332,3.5937298078,5,67
333,5.5087557596,8,51
334,10.20426121,7,58
335,2.856193029,3,61
336,2.9901480876,3,66
337,3.0208151296,2,67
338,4.6993022797,5,38
339,2.9521423393,2,50
340,2.984144438,2,54
341,5.8466474799,9,60
342,3.3557734709,2,70
343,4.5212251007,2,58
344,3.8887695196,2,61
345,6.3124852059,8,52
346,1.8986901578,1,69
347,4.7912509344,4,43
348,3.3343377691,3,52
349,8.3190703117,11,60
350,3.6318647242,2,61
351,2.9581154358,4,58
352,3.1178551976,2,34
353,3.1944448988,5,42
354,7.4038465327,9,54
355,2.7623858877,2,52
356,2.6826281076,4,68
357,2.5410297834,3,47
358,3.6359946828,3,67
359,6.391612749,6,52
360,5.0440426066,7,62
361,10.498562857,20,60
362,6.2788245072,2,48
363,8.1535597688,7,58
364,3.4493842643,4,73
365,2.4824611985,5,58
366,5.0883757099,4,53
367,3.1738664205,2,47
368,9.8008288739,14,50
369,3.6150257607,5,53
370,7.2391733167,9,53
371,2.6888530737,1,72
372,1.7735527253,1,59
373,5.9639964952,2,57
374,4.1368752164,8,77
375,4.8731901549,6,46
376,17.366364909,16,59
377,8.3772763357,5,57
378,5.5881781803,9,59
379,4.5907763927,3,63
380,1.7817765199,2,63
381,3.185263771,3,66
382,3.7021342993,1,58
383,1.4028967549,0,62
384,3.7719895179,7,81
385,1.2163166482,0,72
386,1.9474138481,2,61
387,3.2914555251,2,63
388,2.555203274,3,70
389,5.2892008749,8,69
390,5.6393453657,4,60
391,4.7569327674,8,59
392,2.5644638737,3,52
393,2.9031302558,1,69
394,2.0671302286,1,66
395,4.259349749,4,56
396,2.9726553289,2,62
397,3.3649853888,3,75
398,5.0426619774,4,63
399,1.3571256038,1,59
400,2.6507223314,2,53
401,5.9258390531,8,76
402,2.6374755459,6,75
403,1.7748746643,2,78
404,1.211013115,0,63
405,2.0446603575,2,40
406,2.3999903347,5,63
407,3.5296665698,6,65
408,3.9336405319,3,63
409,2.3879504015,3,57
410,4.4764013691,3,64
411,26.616327022,19,42
412,43.415532588,32,26
413,6.3532224838,3,52
414,46.32734024,39,45
415,6.7074391597,3,64
416,10.661313566,12,67
417,7.269261253,9,56
418,10.841778211,12,82
419,6.9448240828,4,65
420,10.271312948,6,36
421,5.9071237584,8,33
422,7.5676978786,6,56
423,3.3468431719,6,42
424,10.514646825,5,32
425,4.3931132253,5,49
426,4.0656361817,4,26
427,8.3531016824,7,45
428,10.228135708,5,22
429,4.1381259142,4,59
430,4.8625327305,4,39
431,7.1344562807,5,55
432,7.8240450246,7,31
433,3.2678833315,4,49
434,6.2853596673,7,55
435,2.5866470079,1,49
436,5.760409599,4,47
437,3.4569598586,5,47
438,5.9836878254,8,37
439,5.9482716031,6,52
440,8.0841147139,7,72
441,5.0686474745,3,26
442,3.3930180654,3,60
443,13.553612578,13,47
444,8.7065743249,12,43
445,5.8412877774,4,15
446,10.590899371,7,44
447,3.3496101676,4,47
448,2.3492580416,0,56
449,4.4290567617,5,49
450,10.518519988,3,39
451,1.4472044966,0,47
452,5.4106513106,2,54
453,8.0461577734,7,53
454,4.9216731751,4,21
455,4.8660162102,9,63
456,4.4925438165,4,52
457,7.9383601756,4,41
458,4.5039910785,5,49
459,4.0350859888,4,55
460,6.8743187311,7,53
461,4.5714818337,4,37
462,8.1841450211,5,32
463,5.179162119,2,49
464,8.1904327829,6,50
465,8.7968338848,6,68
466,24.412289161,21,59
467,23.109381236,14,68
468,5.7787379536,6,52
469,6.837040904,7,55
470,11.057072242,9,67
471,5.3375325255,4,56
472,7.0704457821,4,72
473,3.1833186006,6,66
474,3.2239330465,3,59
475,3.268841847,2,61
476,7.74274061,7,49
477,5.0598747362,3,34
478,1.6960405649,3,46
479,5.0444501165,3,53
480,2.7289028991,3,76
481,2.7132811864,1,46
482,2.5633018398,2,61
483,7.0185751842,6,82
484,11.357029046,9,61
485,4.7961100454,4,54
486,2.5349462415,1,54
487,3.880538846,7,59
488,3.6066579049,8,77
489,7.608784579,8,48
490,2.7985075523,2,66
491,3.242396522,1,55
492,6.1742897421,8,69
493,3.6905279028,4,52
494,6.7638376276,5,58
495,7.2982691096,5,61
496,6.1372922972,2,56
497,7.3960622163,6,47
498,3.6405773717,1,33
499,6.1333333832,4,55
500,8.6957248601,4,27
501,7.7945906794,4,72
502,2.3544959534,0,47
503,7.4559170482,6,65
504,3.3426715993,5,50
505,16.304714755,5,49
506,10.190396181,12,52
507,8.0959167395,6,40
508,3.8401756105,2,33
509,5.120402549,3,57
510,9.291810034,9,60
511,4.0186671948,6,47
512,5.5591380209,3,35
513,4.6352361215,4,32
514,7.4773558828,4,33
515,9.9446073478,9,49
516,2.9259303417,2,60
517,2.4761716108,0,53
518,5.3849891669,5,54
519,12.284080416,6,48
520,5.2224902092,5,63
521,3.225492235,2,42
522,4.9582857676,4,46
523,5.665716979,3,55
524,2.8966576716,2,55
525,3.9543432337,3,41
526,2.419325998,1,66
527,5.5703029073,4,40
528,7.6052312503,7,31
529,3.3903532173,3,62
530,9.5530137701,8,34
531,4.5650552936,2,46
532,5.9980765694,6,52
533,5.0442775471,6,70
534,1.8199606607,0,48
535,5.7109444642,1,41
536,2.9397864311,2,47
537,5.2848032891,6,54
538,4.6811713013,9,27
539,5.3195503409,4,43
540,2.7446999293,1,49
541,4.1177302656,2,45
542,2.2779748292,0,51
543,5.4213876977,7,27
544,3.513430196,2,45
